ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
12418043471	-33.50030648399962	150.16899240200064		Y			The Trustee For Lithgow Gospel Trust
12420341031	-29.36034244199959	150.59358579300056		Y			Warialda P & A Assn Inc
12420964973	-28.612262286999623	153.49970359200063					The Trustee For The Golden Gift Trust
12446236649	-33.83180244699963	151.25304347700057					The Trustee For Genesis Charitable Foundation Trust
12460327398	-34.639600936999614	148.04416133500058			Y		Aef Bimbadeen College Inc
12465479080	-33.53209307199961	149.25527777100058	Y	Y			Millthorpe & Blayney Baptist Church
12465631754	-36.44122938199962	148.5621899960006		Y			Anglican Parish Of Berridale & Snowy Mountains
12474354644	-33.867364529999634	151.21229736800058		Y			Uniting Church In Australia St Stephen's Sydney
12494922305	-28.812134491999586	153.27746680500059	Y		Y	Y	Ngulingah Local Aboriginal Land Council
12499095112	-31.09589942499963	150.93467136800064			Y	Y	Joblink Plus Limited
12503748610	-31.073634974999607	152.82903656100063	Y	Y	Y		Kempsey & District Meals On Wheels Incorporated
12505139595	-31.340839984999604	150.61209917900055					Werris Creek Sub Branch Of The Rsl
12507027560	-28.33402770699962	153.36557306300062				Y	Powerhouse Christian Centre Murwillumbah Inc.
12507258502	-33.82879439199962	150.7586201420006				Y	Diamond Pregnancy Support Inc
12509308725	-33.834844749999604	151.04103264100058					Sydney Juan Church In Australia Incorporated
12517115688	-33.869599972999595	151.20695930500062					The Trustee For The Helen Champney Penny Trust
12520394293	-33.77674388699961	141.79550605900056					Wentworth District Sub-Branch Of The Returned And Services League Of Australia
12528919171	-33.892106533999595	151.24973121600055					LAM Australia Research Alliance
12532811205	-33.48696398499959	150.89558431600062					Prayer Centre For New Life Incorporated
12535946650	-28.83128648799959	153.60236181700054		Y			The Trustee For Aussies For Orphans Overseas Aid Fund
12536099243	-31.1379991379996	149.29584926500058		Y	Y		Warrumbungle Regional Radio Incorporated
12552547913	-33.87374593099963	151.0355919920006		Y			Falemaama Christian Centre Incorporated
12553835278	-33.43945453799961	151.42154650800057				Y	Healthserve Australia Overseas Aid Fund
12568312344	-33.71290681599959	150.3201862050006		Y			Springwood Faulconbridge Gospel Trust
12571235380	-33.88618555399961	151.09587803000056					Ccc Westside Sydney Inc
12573924909	-28.815186986999606	153.26324041300063					Catholic Parish Of Ourlady Help Of Christians South Lismore - Our Lady H
12574344284	-34.04977257499962	151.1188739760006					Lara Jean Association Inc
12576873045	-32.7859348759996	151.73513481400062				Y	Terrace Christian Church Incorporated
12578251929	-33.77150487999961	151.2161761280006					Killarney Heights High School P&C Assn
12579213998	-33.316805287999614	151.40763586300056					Harvest Church Central Coast
12586856905	-34.34831871199958	150.9204062080006		Y			Woonona Surf Life Saving Club Inc
12603382519	-35.01826366399962	143.38567282300062			Y		Tooleybuc Pre-School Association Incorporated
12620434931	-33.061729587999594	148.8610696450006					Molong Advancement Group Incorporated
